if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,911
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,906
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,906
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,913
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,911
-,-,-,-,-,-,-,912,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,909
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,901
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,884
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,883
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,929
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,916
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,915
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,955
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,938
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,929
-,-,-,-,-,-,-,930,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,927
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,936
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,931
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,931
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,938
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,936
-,-,-,-,-,-,-,937,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,934
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,926
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,945
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,939
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,939
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,955
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,954
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,945
-,-,-,-,-,-,-,946,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,943
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,952
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,947
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,947
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,954
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,952
-,-,-,-,-,-,-,953,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,950
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,942
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,925
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,959
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1033
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,959
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,965
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,957
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,992
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,991
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,974
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,965
-,-,-,-,-,-,-,966,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,963
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,972
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,967
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,967
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,974
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,972
-,-,-,-,-,-,-,973,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,970
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,962
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,981
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,975
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,975
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,991
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,990
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,981
-,-,-,-,-,-,-,982,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,979
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,988
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,983
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,983
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,990
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,988
-,-,-,-,-,-,-,989,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,986
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,978
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,961
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,960
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1006
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,992
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1032
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1015
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1006
-,-,-,-,-,-,-,1007,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1004
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1008
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1008
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1015
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1013
-,-,-,-,-,-,-,1014,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1011
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1003
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1022
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1016
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1016
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1032
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1031
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1022
-,-,-,-,-,-,-,1023,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1020
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1029
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1024
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1024
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1031
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1029
-,-,-,-,-,-,-,1030,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1027
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1002
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,879
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,722
-,-,-,-,1036,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,710
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1048
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1039
-,-,-,-,-,-,1042,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1043
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1041
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1043
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1048
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1053
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1040
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1361
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1204
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1053
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1059
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1051
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1086
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1085
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1068
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1059
-,-,-,-,-,-,-,1060,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1057
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1066
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1061
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1061
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1068
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1066
-,-,-,-,-,-,-,1067,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1064
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1056
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1075
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1069
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1069
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1085
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1084
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1075
-,-,-,-,-,-,-,1076,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1073
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1082
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1077
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1077
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1084
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1082
-,-,-,-,-,-,-,1083,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1080
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1072
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1055
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1054
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1100
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1087
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1086
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1126
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1109
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1100
-,-,-,-,-,-,-,1101,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1098
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1107
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1102
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1102
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1109
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1107
-,-,-,-,-,-,-,1108,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1105
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1097
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1110
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1110
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1126
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1125
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1116
-,-,-,-,-,-,-,1117,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1114
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1123
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1118
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1118
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1125
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1123
-,-,-,-,-,-,-,1124,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1121
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1113
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1096
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1130
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1204
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1130
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1128
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1163
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1162
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1145
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1136
-,-,-,-,-,-,-,1137,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1134
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1143
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1138
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1138
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1145
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1143
-,-,-,-,-,-,-,1144,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1141
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1133
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1152
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1146
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1146
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1162
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1161
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1152
-,-,-,-,-,-,-,1153,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1150
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1154
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1154
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1161
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159
-,-,-,-,-,-,-,1160,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1157
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1149
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1132
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1131
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1177
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1164
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1163
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1203
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1186
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1177
-,-,-,-,-,-,-,1178,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1175
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1184
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1179
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1179
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1186
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1184
-,-,-,-,-,-,-,1185,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1182
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1174
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1193
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1187
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1187
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1203
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1202
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1193
-,-,-,-,-,-,-,1194,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1191
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1200
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1195
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1195
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1202
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1200
-,-,-,-,-,-,-,1201,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1198
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1190
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1173
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1050
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1209
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1361
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1360
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1209
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1215
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1207
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1242
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1241
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1215
-,-,-,-,-,-,-,1216,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1213
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1222
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1217
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1217
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1222
-,-,-,-,-,-,-,1223,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1220
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1212
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1231
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1225
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1225
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1241
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1240
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1231
-,-,-,-,-,-,-,1232,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1229
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1238
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1233
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1233
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1240
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1238
-,-,-,-,-,-,-,1239,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1236
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1228
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1211
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1210
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1256
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1243
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1242
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1282
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1265
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1256
-,-,-,-,-,-,-,1257,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1254
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1263
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1258
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1258
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1265
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1263
-,-,-,-,-,-,-,1264,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1261
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1253
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1272
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1266
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1266
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1282
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1281
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1272
-,-,-,-,-,-,-,1273,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1270
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1279
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1274
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1274
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1281
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1279
-,-,-,-,-,-,-,1280,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1277
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1269
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1252
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1286
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1360
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1286
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1292
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1284
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1319
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1318
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1301
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1292
-,-,-,-,-,-,-,1293,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1290
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1299
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1294
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1294
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1301
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1299
-,-,-,-,-,-,-,1300,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1297
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1289
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1308
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1302
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1302
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1318
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1317
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1308
-,-,-,-,-,-,-,1309,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1306
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1310
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1310
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1317
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1315
-,-,-,-,-,-,-,1316,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1313
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1305
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1288
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1287
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1320
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1319
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1359
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1342
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1333
-,-,-,-,-,-,-,1334,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1331
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1340
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1335
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1335
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1342
