if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,296
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,282
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,322
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,296
-,-,-,-,-,-,-,297,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,294
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,298
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,298
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303
-,-,-,-,-,-,-,304,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,293
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,306
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,322
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312
-,-,-,-,-,-,-,313,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319
-,-,-,-,-,-,-,320,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,309
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,292
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,376
-,-,-,357,-,-,-,-,353,355,-,354,-,352,356,376
-,-,-,-,-,-,338,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,339
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,337
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,339
-,-,-,-,-,-,345,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,344
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,336
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,351
-,-,-,-,-,-,362,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363
-,-,-,-,-,-,369,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374
