string,Identifier,bool,begin,],",",;,(,void,Function,),Integer-Number,float,[,int,statement,char,e
112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[51]
113,-,-,-,-,-,-,[114],-,-,-,-,-,-,-,-,-,-,-
114,"[120, 142, 168]",-,"[122, 144, 170]",-,-,-,-,-,"[121, 143, 169]",-,-,-,"[118, 140, 166]",-,"[119, 141, 167]",-,"[123, 145, 171]",-
115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[113]
116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[115]
117,-,[126],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117]
119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117]
120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117]
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117]
122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117]
123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117]
124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[116]
125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[131]
126,-,-,-,-,-,-,-,-,-,-,-,-,-,[128],-,-,-,[127]
127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[125]
128,-,-,-,-,-,-,-,-,-,-,-,[129],-,-,-,-,-,-
129,-,-,-,-,[130],-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[127]
131,-,-,-,-,-,[132],-,-,-,-,-,-,-,-,-,-,-,[124]
132,-,[134],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[131]
134,-,-,-,-,-,-,-,-,-,-,-,-,-,[136],-,-,-,[135]
135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[133]
136,-,-,-,-,-,-,-,-,-,-,-,[137],-,-,-,-,-,-
137,-,-,-,-,[138],-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[135]
139,-,-,-,-,-,-,-,-,-,-,-,-,-,[146],-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[139]
141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[139]
142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[139]
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[139]
144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[139]
145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[139]
146,-,-,-,-,[147],-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,[150],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,[163],-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[155]
150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[151]
151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[149]
152,-,-,-,-,-,-,-,-,-,-,-,[153],-,-,-,-,-,-
153,-,-,-,-,[154],-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[151]
155,-,-,-,-,-,[156],-,-,-,-,-,-,-,-,-,-,-,[148]
156,-,[158],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[155]
158,-,-,-,-,-,-,-,-,-,-,-,-,-,[160],-,-,-,[159]
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[157]
160,-,-,-,-,-,-,-,-,-,-,-,[161],-,-,-,-,-,-
161,-,-,-,-,[162],-,-,-,-,-,-,-,-,-,-,-,-,-
162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[159]
163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[116]
164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[115]
165,-,-,-,-,-,-,-,-,-,[172],-,-,-,-,-,-,-,-
166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[165]
167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[165]
168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[165]
169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[165]
170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[165]
171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[165]
172,-,-,-,-,-,-,-,[173],-,-,-,-,-,-,-,-,-,-
173,[180],-,[182],-,-,-,-,-,[181],-,-,-,[178],-,[179],-,[183],[174]
174,-,-,-,-,-,-,-,-,-,-,[224],-,-,-,-,-,-,-
175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[174]
176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[199]
177,-,[186],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[177]
179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[177]
180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[177]
181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[177]
182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[177]
183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[177]
184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[176]
185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[191]
186,-,-,-,-,-,-,-,-,-,-,-,-,-,[188],-,-,-,[187]
187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[185]
188,-,-,-,-,-,-,-,-,-,-,-,[189],-,-,-,-,-,-
189,-,-,-,-,[190],-,-,-,-,-,-,-,-,-,-,-,-,-
190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[187]
191,-,-,-,-,-,[192],-,-,-,-,-,-,-,-,-,-,-,[184]
192,-,[194],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[191]
194,-,-,-,-,-,-,-,-,-,-,-,-,-,[196],-,-,-,[195]
195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[193]
196,-,-,-,-,-,-,-,-,-,-,-,[197],-,-,-,-,-,-
197,-,-,-,-,[198],-,-,-,-,-,-,-,-,-,-,-,-,-
198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[195]
199,-,-,-,-,-,-,[200],-,-,-,-,-,-,-,-,-,-,[175]
201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[199]
202,-,[211],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[202]
204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[202]
205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[202]
206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[202]
207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[202]
208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[202]
209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[201]
210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[216]
211,-,-,-,-,-,-,-,-,-,-,-,-,-,[213],-,-,-,[212]
212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[210]
213,-,-,-,-,-,-,-,-,-,-,-,[214],-,-,-,-,-,-
214,-,-,-,-,[215],-,-,-,-,-,-,-,-,-,-,-,-,-
215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[212]
216,-,-,-,-,-,[217],-,-,-,-,-,-,-,-,-,-,-,[209]
217,-,[219],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[216]
219,-,-,-,-,-,-,-,-,-,-,-,-,-,[221],-,-,-,[220]
220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[218]
221,-,-,-,-,-,-,-,-,-,-,-,[222],-,-,-,-,-,-
222,-,-,-,-,[223],-,-,-,-,-,-,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[220]
224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[225],-,-
225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[164]
