ConstantString,true,Identifier,false,Character,Function,FloatNumber,factor,IntegerNumber,e
-,-,-,-,-,-,-,-,-,459
-,-,-,-,-,-,-,-,-,442
-,-,-,-,-,-,-,-,-,433
-,-,-,-,-,-,-,434,-,-
-,-,-,-,-,-,-,-,-,431
-,-,-,-,-,-,-,-,-,440
-,-,-,-,-,-,-,-,-,435
-,-,-,-,-,-,-,-,-,435
-,-,-,-,-,-,-,-,-,442
-,-,-,-,-,-,-,-,-,440
-,-,-,-,-,-,-,441,-,-
-,-,-,-,-,-,-,-,-,438
-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,449
-,-,-,-,-,-,-,-,-,443
-,-,-,-,-,-,-,-,-,443
-,-,-,-,-,-,-,-,-,459
-,-,-,-,-,-,-,-,-,458
-,-,-,-,-,-,-,-,-,449
-,-,-,-,-,-,-,450,-,-
-,-,-,-,-,-,-,-,-,447
-,-,-,-,-,-,-,-,-,456
-,-,-,-,-,-,-,-,-,451
-,-,-,-,-,-,-,-,-,451
-,-,-,-,-,-,-,-,-,458
-,-,-,-,-,-,-,-,-,456
-,-,-,-,-,-,-,457,-,-
-,-,-,-,-,-,-,-,-,454
-,-,-,-,-,-,-,-,-,446
-,-,-,-,-,-,-,-,-,429
-,-,-,-,-,-,-,-,-,428
-,-,-,-,-,-,-,-,-,474
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,460
-,-,-,-,-,-,-,-,-,500
-,-,-,-,-,-,-,-,-,483
-,-,-,-,-,-,-,-,-,474
-,-,-,-,-,-,-,475,-,-
-,-,-,-,-,-,-,-,-,472
-,-,-,-,-,-,-,-,-,481
-,-,-,-,-,-,-,-,-,476
-,-,-,-,-,-,-,-,-,476
-,-,-,-,-,-,-,-,-,483
-,-,-,-,-,-,-,-,-,481
-,-,-,-,-,-,-,482,-,-
-,-,-,-,-,-,-,-,-,479
-,-,-,-,-,-,-,-,-,471
-,-,-,-,-,-,-,-,-,490
-,-,-,-,-,-,-,-,-,484
